,Symbol,2019Q1 %Change,2019Q2 %Change,2019Q3 %Change,2019Q4 %Change,2020Q1 %Change,Buy Straddle?,2020Q2 Date,2020Q2 %Change,2020Q2 Success
229,HRB,-0.58,1.97,-3.42,0.3,-8.3,3 no,2020-06-09,,NaN
230,HRL,-1.81,-5.04,3.12,0.42,-3.1,3 no,2020-05-21,,NaN
231,HSIC,-6.5,4.0,-7.03,-1.14,-0.96,3 no,2020-05-05,,NaN
232,HST,2.0,0.42,-1.67,0.46,3.71,3 no,,,NaN
233,HSY,-2.16,2.61,-3.24,-2.75,-0.4,3 no,2020-04-23,-2.29,no
234,HUM,-1.69,-2.08,5.89,,1.95,3 no,2020-04-29,,NaN
235,HWM,,,,,-43.05,3 no,Multi,,NaN
236,IBM,7.22,-5.35,-0.4,-5.0,2.98,2 maybe,2020-04-20,-5.32,yes
237,ICE,-1.36,0.23,-0.96,0.72,4.21,3 no,2020-04-30,,NaN
238,IDXX,0.59,0.24,,-0.58,1.87,3 no,2020-04-30,,NaN
239,IEX,-5.64,2.07,1.57,-1.07,-5.78,3 no,2020-04-23,-3.93,no
240,IFF,-5.47,-2.15,-11.85,1.89,-6.05,2 maybe,2020-05-11,,NaN
241,ILMN,-3.2,-1.32,,,-5.04,3 no,2020-04-30,,NaN
242,INCY,-1.64,0.48,3.13,-0.35,2.33,3 no,2020-05-05,,NaN
243,INFO,,0.79,-2.12,,,3 no,2020-06-24,,NaN
244,INTC,-5.85,-8.45,1.02,3.75,5.13,2 maybe,2020-04-23,-4.81,yes
245,INTU,0.72,4.12,5.32,-1.19,3.88,3 no,2020-05-21,,NaN
246,IP,1.06,2.17,-0.2,1.29,-1.45,3 no,2020-04-30,,NaN
247,IPG,4.98,3.23,-3.42,-0.43,3.23,3 no,2020-04-22,2.78,no
248,IPGP,0.2,-3.16,-4.98,-9.62,-2.09,3 no,2020-05-05,,NaN
249,IQV,2.41,-1.22,0.09,-1.47,1.95,3 no,2020-04-28,,NaN
250,IR,0.89,0.87,-0.33,1.92,0.56,3 no,2020-05-17,,NaN
251,IRM,0.31,-3.46,,-1.22,0.66,3 no,2020-05-04,,NaN
252,ISRG,,-5.33,-0.63,3.32,,3 no,2020-04-16,1.89,no
253,IT,-9.86,-1.81,-13.1,1.64,-5.08,2 maybe,2020-05-07,,NaN
254,ITW,-3.42,-3.03,-2.29,2.49,0.34,3 no,2020-05-05,,NaN
255,IVZ,-1.57,1.07,0.65,4.24,-1.3,3 no,2020-04-23,-5.56,yes
256,J,,,,2.01,1.38,3 no,2020-05-06,,NaN
257,JBHT,8.89,-5.21,7.62,1.82,-4.33,1 yes,2020-04-14,2.44,no
258,JCI,-0.48,4.08,-0.64,-0.26,1.83,3 no,2020-05-01,,NaN
259,JKHY,-4.93,-2.46,1.63,2.41,4.98,3 no,2020-05-04,,NaN
260,JNJ,-1.91,1.32,-1.32,1.74,-1.72,3 no,2020-04-14,4.04,yes
261,JNPR,-10.55,-0.92,3.14,4.57,-7.11,2 maybe,2020-04-28,,NaN
262,JPM,-2.03,3.02,-0.6,2.06,-0.68,3 no,2020-04-14,-4.55,yes
263,JWN,2.43,-9.43,9.27,7.95,-6.16,1 yes,2020-05-19,,NaN
264,K,-4.39,-4.13,4.65,3.18,-7.41,1 yes,2020-04-30,,NaN
265,KEY,-1.43,-1.57,0.63,1.53,0.71,3 no,2020-04-16,5.44,yes
266,KEYS,2.92,11.68,5.95,1.64,9.79,1 yes,2020-05-27,,NaN
267,KHC,-25.59,,,5.58,-3.08,3 no,2020-04-30,,NaN
268,KIM,-1.96,1.15,0.91,-0.28,-0.8,3 no,2020-05-08,,NaN
269,KLAC,2.96,-4.06,4.28,-3.06,2.59,3 no,2020-05-05,,NaN
270,KMB,-3.61,3.55,1.67,-1.57,-2.96,3 no,2020-04-22,1.06,no
271,KMI,-2.06,-0.41,-2.33,-0.35,2.0,3 no,2020-04-22,3.73,no
272,KMX,4.73,5.73,3.84,-4.44,,2 maybe,Multi,,NaN
273,KO,-6.21,1.46,3.96,2.25,1.61,3 no,2020-04-21,1.48,no
274,KR,-12.27,-4.91,0.7,-0.51,-2.24,3 no,2020-06-18,,NaN
275,KSS,1.64,-12.14,1.69,-16.52,3.69,3 no,2020-05-19,,NaN
276,KSU,3.2,2.76,2.97,4.12,-0.56,3 no,2020-04-17,6.5,yes
277,L,-2.7,1.63,0.29,-1.24,6.82,3 no,2020-04-27,,NaN
278,LB,-5.84,7.07,-10.43,2.33,-7.51,1 yes,2020-05-20,,NaN
279,LDOS,-2.32,1.17,-3.19,3.45,3.63,3 no,2020-05-05,,NaN
280,LEG,4.6,-3.39,-0.1,3.4,2.21,3 no,2020-05-04,,NaN
281,LEN,,3.09,,1.29,,3 no,2020-06-23,,NaN
282,LH,2.45,0.68,-1.53,-0.89,0.52,3 no,2020-04-29,,NaN
283,LHX,,3.15,-2.59,1.91,2.02,3 no,2020-05-05,,NaN
284,LIN,,-1.02,1.22,,2.35,3 no,,,NaN
285,LKQ,0.79,-1.08,-1.3,3.75,,3 no,2020-04-30,,NaN
286,LLY,-1.46,-2.5,-0.58,-3.5,-1.24,3 no,2020-04-23,1.29,no
287,LMT,-2.35,3.57,1.5,-2.95,0.55,3 no,2020-04-21,2.69,no
288,LNC,-1.14,-0.51,-1.09,-5.97,3.47,3 no,2020-05-06,,NaN
289,LNT,-1.88,0.58,0.92,1.35,-0.17,3 no,2020-05-07,,NaN
290,LOW,3.79,-8.87,12.41,4.3,-2.82,1 yes,2020-05-20,,NaN
291,LRCX,7.84,3.87,-0.35,8.26,6.77,2 maybe,2020-04-22,4.86,yes
292,LUV,5.35,0.36,-2.54,1.8,-0.9,3 no,2020-04-28,,NaN
293,LVS,-2.9,1.66,-2.51,0.74,-1.75,3 no,2020-04-22,10.09,yes
294,LW,2.9,6.8,-2.86,0.26,3.64,3 no,2020-04-01,-8.93,yes
295,LYB,-1.97,-1.13,-1.82,2.88,-3.87,3 no,2020-05-01,,NaN
296,LYV,1.26,2.34,1.64,-3.55,-2.9,3 no,2020-04-30,,NaN
297,MA,2.83,1.6,-0.75,0.61,0.85,3 no,2020-04-29,,NaN
298,MAA,-0.31,0.42,0.33,0.1,0.24,3 no,2020-05-06,,NaN
299,MAR,0.18,-3.39,-2.88,-1.65,-2.65,3 no,2020-05-08,,NaN
300,MAS,4.51,-2.18,4.59,0.78,-6.75,2 maybe,2020-04-29,,NaN
301,MCD,-0.84,0.88,1.64,-2.27,0.62,3 no,2020-04-30,,NaN
302,MCHP,6.32,-4.46,,-2.52,6.17,2 maybe,,,NaN
303,MCK,-3.66,1.05,4.16,-4.67,2.86,3 no,2020-05-20,,NaN
304,MCO,3.82,-0.3,3.17,0.81,0.37,3 no,2020-04-30,,NaN
305,MDLZ,0.43,2.26,0.35,-2.01,2.68,3 no,2020-04-28,,NaN
306,MDT,1.03,2.61,3.65,1.11,-2.64,3 no,2020-05-21,,NaN
307,MET,-2.96,2.17,0.87,,1.91,3 no,,,NaN
308,MGM,-5.64,-4.06,3.34,,-4.19,2 maybe,2020-04-30,,NaN
309,MHK,6.19,-1.4,-11.74,5.93,-0.81,2 maybe,2020-05-04,,NaN
310,MKC,,-3.07,,1.56,,3 no,2020-06-25,,NaN
311,MKTX,-0.69,-0.52,-3.53,1.0,0.64,3 no,2020-04-29,,NaN
