,Symbol,Company,Earnings Call Time,EPS Estimate,Reported EPS,Surprise(%),Earnings Date
6,APAM,Artisan Partners Asset Management Inc,TAS,0.73,0.75,2.74,2020-02-04
4,APAM,Artisan Partners Asset Management Inc,TAS,0.73,0.75,2.74,2020-02-05
1,APD,Air Products and Chemicals Inc,TAS,2.08,2.14,2.88,2020-01-24
17,APDN,Applied DNA Sciences Inc,After Market Close,-1.24,-1.12,9.68,2020-02-06
5,APEI,American Public Education Inc,TAS,0.37,0.37,,2020-03-10
4,APEN,Apollo Endosurgery Inc,After Market Close,-0.38,-0.34,10.53,2020-03-26
5,APEN,Apollo Endosurgery Inc,TAS,-0.38,-0.34,10.53,2020-03-26
6,APH,Amphenol Corp,TAS,0.91,0.98,7.69,2020-01-22
0,APHB,AmpliPhi Biosciences Corp,Time Not Supplied,,,,2020-03-23
11,APLE,Apple Hospitality REIT Inc,TAS,0.11,0.11,,2020-02-24
21,APLS,Apellis Pharmaceuticals Inc,After Market Close,-1.14,-1.77,-55.26,2020-02-27
0,APLT,Applied Therapeutics Inc,Before Market Open,-0.64,-1.57,-145.31,2020-03-13
9,APO,Apollo Global Management Inc,Before Market Open,0.73,1.1,50.68,2020-01-30
2,APPF,AppFolio Inc,TAS,0.03,0.12,300.0,2020-03-02
3,APPN,Appian Corp,After Market Close,-0.14,-0.11,21.43,2020-02-20
49,APPS,Digital Turbine Inc,TAS,0.05,0.05,,2020-02-10
50,APPS,Digital Turbine Inc,After Market Close,0.05,0.05,,2020-02-10
9,APRE,Aprea Therapeutics Inc,Before Market Open,-0.4,-0.64,-60.0,2020-03-26
17,APRN,Blue Apron Holdings Inc,Before Market Open,-1.6,-1.66,-3.75,2020-02-18
1,APT,Alpha Pro Tech Ltd,TAS,,,,2020-02-26
5,APTS,Preferred Apartment Communities Inc,TAS,-0.69,-0.71,-2.9,2020-02-24
10,APTV,Aptiv PLC,TAS,1.02,1.15,12.75,2020-01-30
1,APTX,Aptinyx Inc,TAS,-0.56,-0.41,26.79,2020-03-30
7,APY,Apergy Corp,Time Not Supplied,0.14,0.13,-7.14,2020-02-24
17,APYX,Apyx Medical Corp,TAS,-0.19,-0.16,15.79,2020-03-16
7,AQB,AquaBounty Technologies Inc,After Market Close,-0.13,-0.16,-23.08,2020-03-10
4,AQMS,Aqua Metals Inc,After Market Close,-0.15,-0.2,-33.33,2020-03-11
3,AQST,Aquestive Therapeutics Inc,TAS,-0.39,-0.48,-23.08,2020-03-11
74,AQUA,Evoqua Water Technologies Corp,Before Market Open,0.01,0.04,300.0,2020-02-04
12,AR,Antero Resources Corp,TAS,0.05,0.01,-80.0,2020-02-12
18,ARA,American Renal Associates Holdings Inc,TAS,-0.13,0.19,246.15,2020-03-16
4,ARAV,Aravive Inc,TAS,-0.51,-0.35,31.37,2020-03-27
13,ARAY,Accuray Inc,TAS,-0.07,0.12,271.43,2020-01-28
20,ARC,ARC Document Solutions Inc,TAS,,,,2020-02-25
21,ARC,ARC Document Solutions Inc,After Market Close,,,,2020-02-25
2,ARCB,ArcBest Corp,TAS,0.42,0.56,33.33,2020-01-30
5,ARCC,Ares Capital Corp,TAS,0.45,0.46,2.22,2020-02-12
2,ARCE,Arco Platform Ltd,After Market Close,1.18,1.42,20.34,2020-03-16
24,ARCH,Arch Coal Inc,Before Market Open,-0.23,0.5,317.39,2020-02-06
4,ARCO,Arcos Dorados Holdings Inc,TAS,0.08,0.18,125.0,2020-03-18
