,Symbol,Company,Earnings Call Time,EPS Estimate,Reported EPS,Surprise(%),Earnings Date
7,AVY,Avery Dennison Corp,TAS,1.5,,,2020-04-29
1,AWF,AllianceBernstein Global High Income Fund Inc,Time Not Supplied,,,,2020-05-29
0,AWI,Armstrong World Industries Inc,Before Market Open,1.11,,,2020-04-27
3,AWK,American Water Works Company Inc,After Market Close,0.66,,,2020-05-06
8,AWR,American States Water Co,After Market Close,0.43,,,2020-05-04
6,AWRE,Aware Inc,Time Not Supplied,,,,2020-04-28
15,AWSM,Cool Holdings Inc,After Market Close,,,,2020-04-14
30,AWSM,Cool Holdings Inc,After Market Close,,,,2020-05-13
9,AX,Axos Financial Inc,After Market Close,0.89,,,2020-04-29
9,AXAS,Abraxas Petroleum Corp,Time Not Supplied,0.02,,,2020-04-24
22,AXAS,Abraxas Petroleum Corp,Time Not Supplied,,,,2020-05-04
16,AXDX,Accelerate Diagnostics Inc,After Market Close,-0.38,,,2020-05-07
14,AXE,Anixter International Inc,Before Market Open,1.48,,,2020-04-28
40,AXGN,AxoGen Inc,After Market Close,-0.15,,,2020-05-06
4,AXL,American Axle & Manufacturing Holdings Inc,Before Market Open,-0.01,,,2020-05-08
45,AXNX,Axonics Modulation Technologies Inc,After Market Close,-0.61,,,2020-05-05
1,AXP,American Express Co,TAS,1.43,,,2020-04-24
3,AXS,AXIS Capital Holdings Ltd,After Market Close,1.34,,,2020-05-04
13,AXSM,Axsome Therapeutics Inc,Before Market Open,-0.62,,,2020-05-07
6,AXTA,Axalta Coating Systems Ltd,Before Market Open,0.29,,,2020-05-06
8,AXTI,AXT Inc,TAS,-0.05,-0.01,80.0,2020-04-22
